link,rank,title,country,description,ep,genres,keywords,aired,network,duration,content_rating,score,num_scored_by,num_watcher,actors,screenwriter,director
https://mydramalist.com/49231-move-to-heaven,1,Move to Heaven,South Korea,"Han Geu Roo is a 20-year-old with Autism. He works for his father’s business “Move To Heaven,” a company that specializes in crime scene cleanup, where they also collect and arrange items left by deceased people, and deliver them to the bereaved family.

When Geu Roo's father dies, Geu Roo's guardianship passes to his uncle, ex-convict Cho Sang Gu, who is a martial arts fighter in underground matches. Per the father's will,",10,"['Life', 'Drama', 'Family']","['Uncle-Nephew Relationship', 'Autism', 'Death', 'Savant Syndrome', 'Mourning', 'Tearjerker', 'Life Lesson', 'Ex-convict', 'Cleaning and Organizing', 'Asperger’s syndrome']",2021-05-14,Netflix,52 min.,18+ Restricted (violence & profanity),9.2,23705,"47,577","['Lee Je Hoon', 'Tang Jun Sang', 'Hong Seung Hee', 'Jung Suk Yong', 'Jung Young Joo', 'Lee Moon Shik']",Yoon Ji Ryun ,Kim Sung Ho 
https://mydramalist.com/36269-doctor-playbook,2,Hospital Playlist,South Korea,"The stories of people going through their days that are seemingly ordinary but actually special, at the hospital, a place known as the microcosm of life, where someone is being born and someone's life meets their ending. The five doctors are long-time friends of 20 years who started their undergrad in 1999 in the same medical school and now are colleagues in the same hospital and have a band together.
(Source: Naver,",12,"['Friendship', 'Romance', 'Life', 'Medical']","['Multiple Mains', 'Best Friends', 'Slow Romance', 'Multiple Couples', 'Strong Female Lead', 'Slight Romance', 'Nice Male Lead', 'Bromance', 'Nice Female Lead', 'Heartfelt']",2020-03-12,Netflix,1 hr. 30 min.,15+ - Teens 15 or older,9.1,31201,"68,772","['Jo Jung Suk', 'Yoo Yeon Seok', 'Jung Kyung Ho', 'Kim Dae Myung', 'Jeon Mi Do', 'Shin Hyun Bin']",Lee Woo Jung ,Shin Won Ho 
https://mydramalist.com/54625-flower-of-evil,3,Flower of Evil,South Korea,"Although Baek Hee Sung is hiding a dark secret surrounding his true identity, he has established a happy family life and a successful career. He is a loving husband and doting father to his young daughter. But his perfect façade begins to crumble when his wife, Cha Ji Won, a homicide detective, begins investigating a string of serial murders from 15 years ago. Ji Won notices changes in Hee Sung’s behavior and",16,"['Thriller', 'Romance', 'Crime', 'Melodrama']","['Married Couple', 'Deception', 'Family Secret', 'Suspense', 'Mystery', 'Smart Female Lead', 'Hidden Personality', 'Antisocial Personality Disorder', 'Serial Killer', 'Investigation']",2020-07-29,tvN,1 hr. 10 min.,15+ - Teens 15 or older,9.1,33764,"74,068","['Lee Joon Gi', 'Moon Chae Won', 'Jang Hee Jin', 'Seo Hyun Woo', 'Nam Ki Ae', 'Son Jong Hak']",Yoo Jung Hee ,"Kim Chul Gyu,  Yoon Jong Ho "
https://mydramalist.com/57173-hospital-playlist-2,4,Hospital Playlist 2,South Korea,"Everyday is extraordinary for five doctors and their patients inside a hospital, where birth, death and everything in between coexist.
(Source: Netflix)",12,"['Friendship', 'Romance', 'Life', 'Medical']","['Workplace', 'Strong Friendship', 'Best Friends', 'Multiple Mains', 'Band', 'Music', 'Strong Female Lead', 'Multiple Couples', 'Comedy', 'Hidden Relationship']",2021-06-17,Netflix,1 hr. 40 min.,15+ - Teens 15 or older,9.1,16342,"34,353","['Jo Jung Suk', 'Yoo Yeon Seok', 'Jung Kyung Ho', 'Kim Dae Myung', 'Jeon Mi Do', 'Shin Hyun Bin']",Lee Woo Jung ,Shin Won Ho 
https://mydramalist.com/25172-my-ajusshi,5,My Mister,South Korea,"Park Dong Hoon is a middle-aged engineer who is married to attorney Kang Yoon Hee. However, his life is not that happy as he has two unemployed brothers, Sang Hoon and Gi Hoon, who rely on him. Moreover, his wife is secretly having an affair with CEO Do Joon Yeong, his current boss and college junior.

Receiving an unexpected bribe one day, Dong Hoon notices that his co-worker Lee Ji An witnessed",16,"['Psychological', 'Life', 'Drama', 'Family']","['Nice Male Lead', 'Strong Female Lead', 'Smart Female Lead', 'Healing', 'Depression', 'Poor Female Lead', 'Workplace', 'Infidelity', 'Office Worker', 'Hardworking Female Lead']",2018-03-21,tvN,1 hr. 17 min.,15+ - Teens 15 or older,9.1,19660,"51,665","['Lee Sun Kyun', 'IU', 'Park Ho San', 'Song Sae Byuk', 'Lee Ji Ah', 'Kim Young Min']",Park Hae Young ,"Kim Won Suk,  Kim Sang Woo "
https://mydramalist.com/22624-wise-prison-life,6,Prison Playbook,South Korea,"Kim Je Hyuk, a famous baseball player, is arrested after using excessive force while chasing a man trying to sexually assault his sister. Shockingly to him and the rest of the nation, he is sentenced to a year in prison. There, he meets his childhood friend and fellow baseball player, Lee Joon Ho, who gave up on baseball after a car accident, but now is a prison guard and one of Je",16,"['Comedy', 'Crime', 'Life', 'Drama']","['Prison', 'Bromance', 'Wrongfully Accused', 'Life Lesson', 'Slight Romance', 'Strong Male Lead', 'Character Development', 'Baseball', 'Murder', 'Black Comedy']",2017-11-22,Netflix,1 hr. 32 min.,15+ - Teens 15 or older,9,21104,"56,438","['Park Hae Soo', 'Jung Kyung Ho', 'Krystal Jung', 'Im Hwa Young', 'Ye Soo Jung', 'Kim Kyung Nam']","Jung Bo Hoon,  Lee Woo Jung ",Shin Won Ho 
https://mydramalist.com/13544-reply-1988,7,Reply 1988,South Korea,"Five childhood friends, who all live in the same Ssangmundong neighborhood of Seoul, lean on each other to survive their challenging teen years and set a path for their futures. Sung Deok Sun struggles for attention as the middle child in her poor family while also carrying the burden of her 999th ranking in school. Kim Jung Hwan only has a one-track mind for soccer, even after his family becomes rich overnight.",20,"['Comedy', 'Romance', 'Life', 'Youth']","['Neighbors', 'Childhood Friends', 'Multiple Couples', 'Nostalgia', 'Poor Family', 'Love Triangle', 'Best Friends', 'Heartfelt', 'High School', 'Mother-Son Relationship']",2015-11-06,tvN,1 hr. 40 min.,15+ - Teens 15 or older,9,32406,"73,496","['Lee Hye Ri', 'Go Kyung Pyo', 'Ryu Joon Yeol', 'Park Bo Gum', 'Lee Dong Hwi', 'Sung Dong Il']",Lee Woo Jung ,"Shin Won Ho,  Yoo Hak Chan "
https://mydramalist.com/58365-queen-cheorin,8,Mr. Queen,South Korea,"Jang Bong Hwan is a South Korean chef who has risen up the ranks to cook for the country’s top politicians in the Blue House’s presidential residences. After a serious accident, he finds himself in the body of the young queen, Kim So Yong, when whisked away to an era deep in Korea’s past.

While Queen Kim So Yong’s husband is the reigning monarch, King Cheol Jong, he is so in name",20,"['Historical', 'Comedy', 'Romance', 'Fantasy']","['Transmigration', 'Calm Male Lead', 'Joseon Dynasty', 'Time Travel', 'Sassy Female Lead', 'Smart Male Lead', 'Gender Swap', 'Body Swap', 'Eccentric Female Lead', 'Power Struggle']",2020-12-12,tvN,1 hr. 20 min.,15+ - Teens 15 or older,9,26216,"51,999","['Shin Hye Sun', 'Kim Jung Hyun', 'Bae Jong Ok', 'Kim Tae Woo', 'Jo Yun Hee', 'Seol In Ah']","Park Kye Ok,  Choi Ah Il ",Yoon Sung Shik 
https://mydramalist.com/21308-mother,9,Mother,South Korea,"Realizing one of her students is being abused, school teacher and bird researcher Soo Jin impulsively kidnaps the girl and acts as a substitute mother in an attempt to take care of her.

(Source: MyDramaList)",16,"['Thriller', 'Mystery', 'Psychological', 'Melodrama']","['Mother-Daughter Relationship', 'Independent Female Lead', 'Smart Female Lead', 'Child Abuse', 'Adoption', 'Strong Female Lead', 'Suspense', 'Orphan Female Lead', 'Motherhood', 'Investigation']",2018-01-24,tvN,1 hr. 3 min.,15+ - Teens 15 or older,9,7427,"25,678","['Lee Bo Young', 'Heo Yool', 'Lee Hye Young', 'Go Sung Hee', 'Lee Jae Yoon', 'Go Bo Gyeol']",Jung Seo Kyung ,"Kim Chul Gyu,  Yoon Hyun Gi "
https://mydramalist.com/49865-psycho-but-it-s-okay,10,It's Okay to Not Be Okay,South Korea,"Moon Gang Tae is a community health worker at a psychiatric ward who was blessed with everything including a great body, smarts, ability to sympathize with others, patience, ability to react quickly, stamina, and more. Meanwhile, Ko Moon Young is a popular writer of children’s literature who, due to suffering from an antisocial personality disorder, seems extremely selfish, arrogant, and rude.

Moon Gang Tae denies love and Ko Moon Young doesn’t know",16,"['Psychological', 'Comedy', 'Romance', 'Drama']","['Melodrama', 'Mental Health', 'Independent Female Lead', 'emotionally wounded', 'Successful Female Lead', 'Healing', 'Selfless Male Lead', 'Badass Female Lead', 'Psychiatry', 'Childhood Connection']",2020-06-20,Netflix,1 hr. 15 min.,15+ - Teens 15 or older,9,67239,"122,017","['Kim Soo Hyun', 'Seo Yea Ji', 'Oh Jung Se', 'Park Gyu Young', 'Jang Young Nam', 'Kim Chang Wan']",Jo Yong ,"Park Shin Woo,  Jung Dong Yoon "
